Датасет,Модель,MSE,RMSE,R2,Параметры
Синтетические аддитивные,Линейная,0.17765367364697152,0.4214898262674575,0.6860086304383923,4
Синтетические аддитивные,Аддитивная,0.0061046238283058605,0.07813209217924387,0.989210472504401,37
Синтетические аддитивные,Полная полиномиальная,0.006458802260845295,0.08036667381972017,0.9885844850490375,56
Diabetes,Линейная,2848.3106508475094,53.36956671032199,0.48490588894767483,11
Diabetes,Аддитивная,2824.5313415953883,53.14632011339438,0.4892061860929371,81
Diabetes,Полная полиномиальная,3183.7634375648586,56.42484769642589,0.4242419459459573,66
