Датасет,Модель,MSE,RMSE,R2,Параметры
Неаддитивные,Аддитивная,0.012463010443663273,0.11163785399076459,0.9045195073002621,37
Неаддитивные,Полная полиномиальная,0.005528491424564865,0.07435382589056776,0.9576456196125458,10
