Датасет,Метод,MAE,RMSE,R2
Diabetes,NW фиксированное окно,43.62428107660922,54.88667978266418,0.4419459300126539
Diabetes,NW переменное окно,42.669546023099926,54.12893543034602,0.4572481266242251
Diabetes,LOWESS,43.260395561915246,54.87732504575753,0.4421361402474687
California Housing,NW фиксированное окно,0.5071085879515606,0.718532539708715,0.5626638349611441
California Housing,NW переменное окно,0.47739658605342217,0.6816039194997133,0.6064620041659479
California Housing,LOWESS,0.48048788220362937,0.7063977260419876,0.5773108536048637
